Rank,Team,GM,W-L,FGM,FGA,FG%,Win,Loss,WinPct,Conf
57,Siena (Metro Atlantic),33,21-12,900,"1,937",46.5,21,12,0.64,ma
58,Western Ky. (Conference USA),31,16-15,840,"1,810",46.4,16,15,0.52,cu
59,Florida St. (Atlantic Coast),30,18-12,832,"1,793",46.4,18,12,0.60,ac
60,UTEP (Conference USA),31,18-13,838,"1,807",46.4,18,13,0.58,cu
61,UC Irvine (Big West),32,24-8,811,"1,750",46.3,24,8,0.75,bw
62,Louisiana Tech (Conference USA),31,23-8,868,"1,873",46.3,23,8,0.74,cu
63,California (Pac-12),31,22-9,814,"1,758",46.3,22,9,0.71,p12
64,Austin Peay (OVC),35,18-17,920,"1,988",46.3,18,17,0.51,ovc
65,ETSU (Southern),34,23-11,924,"1,998",46.2,23,11,0.68,so
66,BYU (West Coast),33,23-10,979,"2,118",46.2,23,10,0.70,wc
67,Duke (Atlantic Coast),31,22-9,847,"1,836",46.1,22,9,0.71,ac
68,Vanderbilt (Southeastern),31,19-12,816,"1,769",46.1,19,12,0.61,so
69,Fairleigh Dickinson (Northeast),31,17-14,875,"1,898",46.1,17,14,0.55,no
70,Coastal Caro. (Big South),29,18-11,770,"1,672",46.1,18,11,0.62,bs
71,Dayton (Atlantic 10),30,24-6,764,"1,660",46,24,6,0.80,a10
72,Montana (Big Sky),29,19-10,733,"1,593",46,19,10,0.66,bs
73,Hawaii (Big West),29,24-5,766,"1,665",46,24,5,0.83,bw
74,Toledo (Mid-American),32,17-15,865,"1,881",46,17,15,0.53,ma
75,Washington St. (Pac-12),30,9-21,786,"1,710",46,9,21,0.30,p12
76,Mississippi St. (Southeastern),30,14-16,827,"1,800",45.9,14,16,0.47,so
77,Duquesne (Atlantic 10),31,16-15,866,"1,885",45.9,16,15,0.52,a10
78,Pittsburgh (Atlantic Coast),30,20-10,809,"1,761",45.9,20,10,0.67,ac
79,La.-Monroe (Sun Belt),31,19-12,827,"1,801",45.9,19,12,0.61,sb
80,Texas Southern (Southwestern),30,17-13,771,"1,680",45.9,17,13,0.57,so
81,Albany (NY) (America East),32,24-8,812,"1,770",45.9,24,8,0.75,ae
82,Tennessee Tech (OVC),30,19-11,771,"1,681",45.9,19,11,0.63,ovc
83,Oakland (Horizon),32,21-11,920,"2,006",45.9,21,11,0.66,ho
84,UConn (AAC),31,21-10,813,"1,773",45.9,21,10,0.68,aac
85,Oklahoma (Big 12),30,24-6,836,"1,824",45.8,24,6,0.80,b12
86,Southern California (Pac-12),31,20-11,894,"1,951",45.8,20,11,0.65,p12
87,Lehigh (Patriot),31,17-14,789,"1,722",45.8,17,14,0.55,pa
88,UNC Asheville (Big South),33,22-11,877,"1,916",45.8,22,11,0.67,bs
89,UNI (Missouri Valley),34,22-12,801,"1,751",45.7,22,12,0.65,mv
90,Oral Roberts (Summit League),31,14-17,832,"1,821",45.7,14,17,0.45,sl
91,Northwestern St. (Southland),28,8-20,770,"1,687",45.6,8,20,0.29,so
92,Chattanooga (Southern),34,29-5,869,"1,904",45.6,29,5,0.85,so
93,UCLA (Pac-12),31,15-16,889,"1,948",45.6,15,16,0.48,p12
94,Milwaukee (Horizon),33,20-13,879,"1,927",45.6,20,13,0.61,ho
95,Iona (Metro Atlantic),32,22-10,888,"1,947",45.6,22,10,0.69,ma
96,Furman (Southern),33,18-15,799,"1,753",45.6,18,15,0.55,so
97,UNCW (Colonial),32,25-7,898,"1,971",45.6,25,7,0.78,co
98,Tennessee St. (OVC),30,20-10,770,"1,691",45.5,20,10,0.67,ovc
99,Navy (Patriot),33,19-14,805,"1,768",45.5,19,14,0.58,pa
100,Samford (Southern),33,14-19,845,"1,857",45.5,14,19,0.42,so
